Key,Type,Desc,English,Japanese
Achievements/achievement01_description,Text,,Finish the tutorial,チュートリアルを終了する
Achievements/achievement01_title,Text,,First Journey,ファーストジャーニー
Achievements/achievement02_description,Text,,Win 10 online games,オンラインゲームで10勝する
Achievements/achievement02_title,Text,,Team Effort,チームエフォート
Achievements/achievement03_description,Text,,Win 5 solo games,ソロプレイで5勝する
Achievements/achievement03_title,Text,,Terraformer,テラフォーマーズ
Achievements/achievement04_description,Text,,Place 5 City Tiles in a single game,1回の対局で5つの都市タイルを配置する
Achievements/achievement04_title,Text,,New Home,新しいホーム
Achievements/achievement05_description,Text,,Place 12 Greenery Tiles in a single game,1回の対局で「緑地」を12枚配置する。
Achievements/achievement05_title,Text,,No Longer Red,ノーロンガーレッド
Achievements/achievement06_description,Text,,Place all types of tiles at least once,すべての種類のタイルを少なくとも一度は配置する
Achievements/achievement06_title,Text,,Landlord,家主
Achievements/achievement07_description,Text,,Win all 3 awards in a single game,1試合で3つのアワードをすべて獲得する
Achievements/achievement07_title,Text,,Biggest Reward,最大の報酬
Achievements/achievement08_description,Text,,Claim all 3 milestones in a single game,1つのゲームで3つのマイルストーンを達成する
Achievements/achievement08_title,Text,,Most Achievements,最も多く達成された業績
Achievements/achievement09_description,Text,,Use all Standard Projects in a single game,1つのゲームですべてのスタンダードプロジェクトを使用する
Achievements/achievement09_title,Text,,Variety Expert,バラエティエティーエキスパート
Achievements/achievement10_description,Text,,Play 30 cards in a single game,1回のゲームで30枚のカードをプレイ
Achievements/achievement10_title,Text,,Project Manager,プロジェクトマネージャー
Achievements/achievement11_description,Text,,Pay for a card using only Steel or Titanium,鋼鉄またはチタンのみでのカード決済
Achievements/achievement11_title,Text,,It's a steal!,これはお買い得です
Achievements/achievement12_description,Text,,"Get a Terraforming Rating of 40 in a single game, before the end game",エンドゲームの前に、1回のゲームでテラフォーム評価を40にする。
Achievements/achievement12_title,Text,,Changing the Planet,惑星を変える
Achievements/achievement13_description,Text,,Raise M€ production to 10 or more in a single game,1回のゲームでM€の生産量を10以上にする
Achievements/achievement13_title,Text,,Prop-M Rover,プロップMローバー
Achievements/achievement14_description,Text,,Raise Steel production to 10 or more in a single game,鋼鉄の生産量を1試合で10個以上に引き上げる
Achievements/achievement14_title,Text,,Spirit,スピリッツ
Achievements/achievement15_description,Text,,Raise Titanium production to 10 or more in a single game,1回のゲームでチタンの生産量を10個以上にすること
Achievements/achievement15_title,Text,,Opportunity,機会
Achievements/achievement16_description,Text,,Raise Plant production to 10 or more in a single game,1試合で植物の生産量を10個以上にする
Achievements/achievement16_title,Text,,Curiosity,好奇心
Achievements/achievement17_description,Text,,Raise Energy production to 10 or more in a single game,1試合でエナジーの生産量を10以上にする
Achievements/achievement17_title,Text,,Beagle 2,ビーグル2
Achievements/achievement18_description,Text,,Raise Heat production to 10 or more in a single game,1試合でヒートプロデュースを10以上に引き上げる
Achievements/achievement18_title,Text,,Sojourner,逗留客
Achievements/achievement19_description,Text,,Collect 10 resources on a single card in a single game,1回のゲームで1枚のカードに10個の資源を集めること
Achievements/achievement19_title,Text,,Collector,コレクター
Achievements/achievement20_description,Text,,Get 15 Victory Points or more in a single game,1試合で15勝利ポイント(VP)以上を獲得する。
Achievements/achievement20_title,Text,,Winner Winner Terraformer,受賞者 テラフォーマーズ
Achievements/achievement21_description,Text,,Win a Prelude game in solo mode,ソロモードでプレリュードゲームに勝利する
Achievements/achievement21_title,Text,,Acquired knowledge,習得した知識
Achievements/achievement22_description,Text,,"On Prelude, achieve a production of M$+20",プレリュードで、M$+20のプロダクションを達成する。
Achievements/achievement22_title,Text,,Money money,マネーマネー
Achievements/achievement23_description,Text,,"On Prelude, be the originator of the last ocean and the last increase in temperature and oxygen levels in the same game.",プレリュードでは、同じゲームで最後の海洋と最後の温度と酸素濃度の上昇の発案者になってください。
Achievements/achievement23_title,Text,,Final touch,ファイナルタッチ
Achievements/achievement24_description,Text,,"On Prelude, have a minimum production of 4 in everything",プレリュードでは、すべてにおいて最低4人のプロダクションを持つこと
Achievements/achievement24_title,Text,,Self-sufficient,自給自足
Achievements/achievement25_description,Text,,"Play all Prelude cards (corporation, prelude phase and game card) at least once",すべてのプレリュードカード（企業、プレリュードフェイズ、ゲームカード）を最低1回プレイする。
Achievements/achievement25_title,Text,,Frequent tester,フリークエントテスター
Achievements/achievement26_description,Text,,Win a Hellas game and an Elysium game in solo mode,ソロモードでHellasゲームとElysiumゲームに勝利する
Achievements/achievement26_title,Text,,Hellenic Elysium,ヘレニック・エリシオン
Achievements/achievement27_description,Text,,Validate 3 objectives in a Hellas game AND in an Elysium game,HellasゲームとElysiumゲームの両方で3つの目標を達成する。
Achievements/achievement27_title,Text,,Ultimate success,究極の成功
Achievements/achievement28_description,Text,,Win all 3 rewards in a Hellas game AND in an Elysium game,ヘラス戦とエリシオン戦で3つの報酬を獲得する。
Achievements/achievement28_title,Text,,Grand champion,グランドチャンピオン
Achievements/achievement29_description,Text,,Reach a total score of 100 on Hellas or Elysium.,HellasまたはElysiumで合計スコア100を達成する。
Achievements/achievement29_title,Text,,Master,マスター
Achievements/achievement30_description,Text,,Win 10 Hellas OR Elysium games online,オンラインで 10 Hellas もしくは  Elysium ゲームに勝利する。
Achievements/achievement30_title,Text,,Determined,決定済み
Board/CorporationChange,Text,,CHANGE CORPORATION,企業を変更
Board/DraftSelection,Text,,CHOOSE A CARD TO KEEP (CARD {0} OF {1}),保持するカードを選択（{1}のカード{0}）。
Board/DraftVariant,Text,,DRAFT VARIANT,ドラフトバリアント
Board/Generation,Text,,GEN,世代
Board/PreludeChange,Text,,CHANGE PRELUDE CARDS,プレリュードカードを変更
Board/award_banker_description,Text,,Have the highest M€ production.,生産量（M€）が最も多い。
Board/award_banker_title,Text,,BANKER,BANKER
Board/award_benefactor_description,Text,,Highest terraform rating.,最も高いテラフォーム評価。
Board/award_benefactor_title,Text,,BENEFACTOR,BENEFACTOR
Board/award_celebrity_description,Text,,Most cards in play (not events) with a cost of at least 20 megacredits.,プレイ中のカード（イベント以外）のうち、コストが20メガクレジット以上のものがほとんどです。
Board/award_celebrity_title,Text,,CELEBRITY,CELEBRITY
